"Record","Unique_ID","EQR","P","Exclude_P","N","Exclude_N","BioClass","Group"
61,"Elbe, Schmilka, rechts",41.7429072768087,156.502747252747,0,4959.96133496133,0,3,"10.2"
62,"Elbe, Zehren, links",59.1285268978922,188.540801790802,0,5339.91096866097,0,3,"10.2"
228,"Main, Erlabrunn KW-OW",13.7005942741469,188.621666666667,0,4394.28571428571,0,5,"10.2"
229,"Main, Kahl a. Main Messstation",22.2803401360544,186.561904761905,0,4354.44444444444,0,5,"10.2"
230,"Main, Messstation Bischofsheim",18.371181365736,222.47619047619,0,5453.33333333333,0,5,"10.2"
231,"Main, Rothenfels KW-OW",8.66333333333333,173,0,NA,0,5,"10.2"
313,"Weser, Hemeln",62.1165570947509,193.392857142857,0,3198.80952380952,0,3,"10.2"
314,"Weser, Hess. Oldendorf",89.0044798095348,182.142857142857,0,3542.85714285714,0,2,"10.2"
315,"Weser, Pegel Porta",33.0000000001667,136.730769230769,0,4727.77777777778,0,4,"10.2"
316,"Weser,uh KA Vlotho",92.2499999999917,204.833333333333,0,3725,0,2,"10.2"
317,"Weser,Weserbrücke Minden",91.6666666666833,169.345238095238,0,3652.85714285714,0,2,"10.2"
