"Record","Unique_ID","EQR","P","Exclude_P","N","Exclude_N","BioClass","Group"
44,"Lecker Au bei Leck",4.7529142856,57.2,0,1640,0,5,"15.2+17.2"
45,"Neue Schlote, Schleuse Eider",52.466,215,0,2100,0,2,"15.2+17.2"
46,"Neue Sorge, bei Sandschleuse",46.5275,114,0,1662.5,0,2,"15.2+17.2"
109,"ELK - bei Büchen",17.1855,39.2083333333333,0,1290.41666666667,0,4,"15.2+17.2"
110,"ELK bei Berkenthin",30.596125,135.333333333333,0,2258.33333333333,0,3,"15.2+17.2"
111,"Elde u. Grabow",30.1478122762326,115,0,1490,0,3,"15.2+17.2"
112,"Elde, u. Neustadt-Glewe",7.88606083536258,94,0,1248,0,5,"15.2+17.2"
113,"Müggelspree, Fähre Rahnsdorf",15.0021621148512,108.564732142857,0,1098.37276785714,0,5,"15.2+17.2"
114,"Mulde, Ablauf Stausee",17.7,84.2857142857143,0,4157.14285714286,0,4,"15.2+17.2"
115,"Mulde, Dessau",13.5741758241758,95.6854128564655,0,3788.10872902978,0,5,"15.2+17.2"
116,"Mulde, Priorau",21.6,81.4285714285714,0,4100,0,4,"15.2+17.2"
117,"Mulde, Zulauf Stausee",46.7,121.428571428571,0,4400,0,2,"15.2+17.2"
118,"Saale, Grimschleben (Nienburg)",22.0714285714286,193.765306122449,0,5276.5306122449,0,4,"15.2+17.2"
119,"Saale, Groß Rosenburg",30.8416913919414,192.087301587302,0,5248.63095238095,0,3,"15.2+17.2"
120,"Saale, Halle-Trotha",17.6045918367347,186.397959183673,0,5127.04081632653,0,4,"15.2+17.2"
121,"Saale, Jesar",21.844387755102,197.091836734694,0,5066.58163265306,0,4,"15.2+17.2"
122,"Saale, Saaleck (Bad Kösen)",11.9321428571429,155.214285714286,0,5794.64285714286,0,5,"15.2+17.2"
123,"Saale, Wettin",15.9311224489796,187.602040816327,0,5218.62244897959,0,4,"15.2+17.2"
124,"Schwarze Elster, Gorsdorf",9.95668964115074,72.0647619047619,0,2253.38095238095,0,5,"15.2+17.2"
125,"Spree, Baumschulenweg",43.1112978525397,159.728174603175,0,1631.60714285714,0,2,"15.2+17.2"
126,"Spree, Dammbrücke",46.2142857142857,176.989583333333,0,1833.55952380952,0,2,"15.2+17.2"
127,"Spree, Hammergraben Siedlung Cottbus",6.74763401794561,52.1333333333333,0,2841.11111111111,0,5,"15.2+17.2"
128,"Spree, Jannowitzbrücke",36.2813492063492,161.813492063492,0,1478.54166666667,0,3,"15.2+17.2"
129,"Spree, Neubrück",10.8103653228343,111,0,1087.33333333333,0,5,"15.2+17.2"
130,"Spree, Neuseeland",7.19230769230769,96.1904761904762,0,1609.04761904762,0,5,"15.2+17.2"
131,"Spree, Neuzittau",17.3125,90.625,0,NA,0,4,"15.2+17.2"
132,"Spree, Sieverslake",16.7590861158711,105,0,1375,0,4,"15.2+17.2"
133,"Spree, Sophienwerder",21.8941798941799,177.789682754922,0,1814.50396792341,0,4,"15.2+17.2"
134,"Stör am Pegel Willenscharen",6.20569304417213,112.5,0,NA,0,5,"15.2+17.2"
135,"Sude, Bandekow",12.8604683301472,108.387755102041,0,1879.95238095238,0,5,"15.2+17.2"
136,"Teltowkanal, Nathanbrücke",19.8196311858571,257.65873015873,0,6136.62698412698,0,4,"15.2+17.2"
137,"Vereinigte Mulde, Bad Düben",52.6842651630637,171.539835164835,0,5180.7864010989,0,2,"15.2+17.2"
138,"Weisse Elster, Halle-Ammendorf",18.210989010989,200.405952380952,0,4768.80952380952,0,4,"15.2+17.2"
139,"Werdersche Havel",44.32,186.8,0,NA,0,2,"15.2+17.2"
192,"Ems, Rheine",17.6666666666667,138.125,0,5278.57142857143,0,4,"15.2+17.2"
278,"Schwartau an der Kaltenhöferstraße",22.9872777777778,137.369047619048,0,3779.16666666667,0,4,"15.2+17.2"
279,"Schwartau in Techau",8.03514285714286,159,0,3900,0,5,"15.2+17.2"
280,"Wakenitz, Straßenbrücke B75",18.056,48.1666666666667,0,1289.58333333333,0,4,"15.2+17.2"
288,"Mildenitz Sternberger Burg",34.4022222222222,90.4444444444445,0,1430.79365079365,0,3,"15.2+17.2"
289,"Nebel, Wolken",10.3178670634921,104.056547345238,0,1915.59523783333,0,5,"15.2+17.2"
290,"Tollense, Demmin",8.23738095238095,120.261904761905,0,2211.42063492063,0,5,"15.2+17.2"
291,"Warnow, Langen Brütz",13.3485714285714,169.761904761905,0,1968.57142857143,0,5,"15.2+17.2"
292,"Warnow, o. Bützow",16.3806547619048,117.857142857143,0,1533.3630952381,0,4,"15.2+17.2"
325,"Aller, Verden",24.9870650237014,122.5,0,2657.14285714286,0,4,"15.2+17.2"
326,"Leine, Neustadt",10.13772661086,142.857142857143,0,3914.28571428571,0,5,"15.2+17.2"
